Age,Gender,Years,Purchases,Spend
26,0,5,8,11.52
40,0,23,15,29.73
34,1,9,7,9.47
30,1,14,20,32.78
38,1,18,5,8.76
42,0,18,2,1.79
38,1,23,22,41.72
28,1,5,20,28.99
42,0,20,10,26.22
39,1,15,3,19.55
38,1,16,2,5.48
25,0,6,4,1.27
40,0,20,10,11.73
31,1,15,18,27.01
33,1,14,21,21.73
28,0,4,5,7.55
43,0,19,12,9.21
44,0,17,18,12.78
34,1,10,8,10.76
26,1,3,4,9.24
29,1,4,3,6.93
43,0,17,12,16.32
34,0,9,6,7.85
30,1,14,5,10.4
41,1,18,29,41.14
26,1,7,17,29.67
26,1,5,4,9.7
40,1,24,30,43.03
44,0,16,8,17.98
33,1,8,1,5.08
28,1,2,4,8.58
33,1,15,8,12.43
25,1,3,9,14.39
28,1,7,3,5.35
28,1,3,6,10.95
34,0,16,1,2.09
42,1,24,26,41.6
32,1,10,5,10.14
42,0,16,2,3.02
40,1,17,17,20.5
