Years,Email,Gender,Age,Spend,CustID,Scores,Amount,Purchases,Income,Churn
5,1,1,24,10.47825,1385,2,503.5406907675803,8,18.896,0
8,1,1,24,9.17665,3658,2,501.5032128916577,9,22.416,1
8,1,1,25,10.86838,5477,3,503.7672544695489,10,21.612,0
5,1,1,21,10.04089,15178,2,503.43171799985873,7,20.509,0
9,1,0,21,7.16855,22126,1,498.83163091750725,7,24.599,1
8,0,1,25,8.1794,5374,3,499.34918025138194,10,22.743,0
11,0,1,24,9.63572,6838,2,501.74233445301263,10,23.948,0
7,1,1,22,4.70645,22257,2,498.60402446136675,11,24.32,1
6,0,1,23,8.22526,12724,3,500.6235018981995,8,20.89,0
9,0,1,21,8.65668,3271,2,502.60647732127035,8,22.167,0
11,0,1,25,8.84363,1973,3,499.45976840918496,12,26.376,0
7,0,1,23,9.925,21372,4,501.4231118934956,11,24.635,0
8,1,1,24,11.30494,18078,2,503.4215423640664,9,22.109,0
9,0,0,25,7.91664,7769,3,497.6816038655709,11,24.444,0
8,0,1,25,7.83331,10340,4,497.341756711508,10,23.629,0
9,0,0,27,8.65859,13748,3,498.563008921681,12,23.652,0
9,0,1,19,10.85561,9971,2,504.81765184419663,8,24.999,1
9,0,1,26,8.6323,1509,3,500.3453962871178,11,22.958,0
9,0,1,25,7.70528,853,3,498.7636001087851,11,23.973,0
7,1,0,21,6.70921,2146,2,499.4641202006175,8,24.171,1
9,0,0,31,6.42791,16888,4,493.17287508422186,13,23.895,0
10,0,1,26,10.00863,9885,3,500.6683911692859,12,24.374,0
9,1,0,24,6.85816,13180,2,497.9648045165888,9,24.612,1
8,1,1,26,10.0864,18085,3,501.01064752408706,12,22.998,0
10,0,1,28,7.83067,10119,3,497.41763900056316,13,23.572,0
8,1,1,25,9.5477,6249,3,501.54040478976884,10,21.788,0
7,1,0,29,8.7571,18896,3,496.97131574295054,11,21.81,0
8,0,1,22,7.56289,14924,3,500.4685903551521,8,20.894,0
8,1,0,26,11.35131,8781,3,500.4343522811922,11,25.22,0
9,0,1,24,9.91328,8855,3,500.5543515406136,10,24.453,0
7,0,1,24,8.45427,21182,3,500.87973462376453,9,21.197,0
8,0,1,24,8.29804,17856,3,499.65290776275344,9,21.658,0
8,0,0,26,7.01078,16726,2,497.8938482796987,10,21.523,0
9,1,0,23,9.60398,3524,1,501.4455709426908,8,24.176,1
10,0,1,23,8.9585,9695,3,501.7031679750871,10,23.746,0
10,1,1,25,9.41979,10480,3,498.8787114570237,6,21.237,1
8,1,1,26,9.5135,22237,3,500.69594661478857,10,21.459,0
9,0,1,23,7.29229,1674,3,498.90197317106924,10,24.033,0
9,1,1,21,8.78208,5172,2,502.209674737943,10,25.975,1
6,0,1,22,8.35297,2600,3,500.1114762862895,8,22.12,0
7,1,1,26,10.59282,15241,3,501.37064593610665,9,21.162,0
7,0,0,25,8.33929,18435,3,499.0187814191147,10,22.276,0
7,1,0,27,10.31848,2606,3,499.5812284489958,11,22.752,0
9,1,1,24,13.85721,16033,3,504.7455077708206,6,20.0,1
8,1,1,22,9.80796,8979,1,503.34332154898067,9,24.08,1
9,0,0,25,9.00143,18305,2,500.14933713324945,10,23.344,0
9,1,1,22,9.01571,17088,2,500.6417723409819,8,22.964,1
7,0,1,23,9.67878,9367,4,501.53513797840145,9,23.291,0
9,0,1,26,7.05677,14312,3,498.53836145667066,11,21.723,0
10,0,1,24,7.61589,17100,3,499.29718719829316,9,21.691,0
10,1,1,25,11.32338,17233,3,501.9372987172586,8,21.831,1
9,0,1,23,8.67163,10137,3,500.708303457676,9,22.642,0
10,0,0,29,7.05799,8172,3,494.91122283481207,12,24.442,0
9,0,1,24,9.65046,17805,2,501.82988408099305,9,22.596,0
8,1,1,22,4.87467,13544,2,498.47379952952207,12,26.416,1
9,0,0,29,7.12673,4845,3,496.0487855575668,13,22.156,0
8,0,1,23,8.63044,7578,4,499.9010930452224,11,25.254,0
8,1,1,26,9.27478,7329,3,500.1171572927784,11,22.924,0
8,1,1,26,9.48842,21991,3,500.52430744594824,10,21.801,0
9,0,1,21,8.38482,21579,3,500.77522323274474,9,24.663,0
11,0,1,26,7.02605,3145,2,498.1909508915121,11,22.882,0
9,0,0,29,8.22046,16411,3,497.6973024132673,12,22.683,0
10,0,1,20,10.41082,20356,2,503.36477871943646,7,24.292,0
8,1,1,26,10.02688,14679,3,500.92591034923026,10,22.463,0
6,0,1,22,7.34755,14934,3,500.32441826003276,8,21.338,0
9,0,1,26,9.19275,4417,3,498.8558760814757,11,23.844,0
9,1,1,24,10.44881,20028,2,501.58503873473353,8,22.56,1
9,1,0,27,9.48289,19487,3,497.8634754393453,12,25.264,0
7,1,1,23,9.82964,18694,2,502.2258070956746,8,21.684,0
10,0,0,28,8.90636,9068,3,498.31380181097137,13,24.561,0
9,1,1,26,10.71154,4414,2,502.30298924009355,12,23.686,0
8,0,1,23,9.72392,4701,2,501.8965185721696,8,22.341,0
11,0,0,23,6.62352,4375,3,496.8383850789682,10,25.48,0
7,1,1,23,9.971,9839,3,501.7117065139474,9,21.942,0
9,0,1,25,10.28738,6930,3,502.91222142478387,12,23.398,0
10,0,1,25,8.35361,2434,3,499.2614608534591,12,24.626,0
8,1,1,24,9.97424,10936,2,501.7791966130328,8,20.86,1
9,0,0,24,6.92745,21830,3,497.0392438333894,10,23.496,0
9,0,1,22,7.87078,11171,3,499.1499660053549,9,24.491,0
9,1,1,22,10.17014,4955,3,502.1925911890122,8,23.618,1
10,0,1,25,8.39244,5459,2,499.7721939788803,11,23.581,0
8,0,0,27,8.46185,16090,3,498.6909837031397,11,22.293,0
12,0,1,25,7.8343,10438,3,498.7635645220888,12,25.611,0
9,0,1,22,8.01913,7120,2,500.18435485521826,8,23.529,0
6,0,1,21,8.80044,2187,4,499.7328494436395,7,22.926,0
11,0,0,28,8.18161,21412,3,497.8096252990018,12,24.101,0
8,1,0,27,9.50786,2776,2,500.37219527698,11,21.812,0
