CustID,Age,City,Distance,Rating,,
HGB98,42,,320,9.6,,
GKW87,24,Bangalore,,9.0,,
FGL63,,Hyderabad,356,9.6,,
DMW32,38,Chennai,280,,,
CPD56,22,Bangalore,198,9.1,,
HJW28,49,Hyderabad,337,9.5,,
BJD39,56,Hyderabad,312,9.7,,
HJQ62,25,Bangalore,205,8.9,,
KWL38,47,Hyderabad,,9.6,,
FKW73,,Hyderabad,328,9.5,,
DKR82,35,Chennai,291,8.4,,
SKP48,47,Hyderabad,339,9.7,,
SLR58,26,Bangalore,212,,,
DKW19,24,Bangalore,197,,,
SFK36,53,Hyderabad,352,9.6,,
GWL82,50,Hyderabad,,9.7,,
DGK73,23,Bangalore,,9.1,,
RTK62,38,Chennai,286,8.5,,
FWK93,51,Hyderabad,338,9.6,,
DPW75,25,Bangalore,211,9.0,,
